"colBoth.protein"	"colBoth.count"
"213"	"AT2G33540"	2
"214"	"AT2G33610"	10
"215"	"AT2G34650"	4
"216"	"AT2G34690"	4
"217"	"AT2G35190"	4
"218"	"AT2G35930"	2
"219"	"AT2G36060"	4
"220"	"AT2G36250"	6
"221"	"AT2G36270"	2
"222"	"AT2G36490"	2
"223"	"AT2G36740"	2
"224"	"AT2G36910"	2
"225"	"AT2G37340"	2
"226"	"AT2G37560"	10
"227"	"AT2G37678"	3
"228"	"AT2G37680"	5
"229"	"AT2G38230"	4
"230"	"AT2G38470"	3
"231"	"AT2G38880"	5
"232"	"AT2G39550"	2
"233"	"AT2G39760"	4
"234"	"AT2G39940"	16
"235"	"AT2G40000"	2
"236"	"AT2G40030"	2
"237"	"AT2G40940"	4
"238"	"AT2G41110"	3
"239"	"AT2G41430"	3
"240"	"AT2G42830"	2
"241"	"AT2G43010"	5
"242"	"AT2G43790"	4
"243"	"AT2G44610"	2
"244"	"AT2G44950"	5
"245"	"AT2G45190"	2
"246"	"AT2G45280"	2
"247"	"AT2G45450"	2
"248"	"AT2G45640"	6
"249"	"AT2G45820"	4
"250"	"AT2G46270"	4
"251"	"AT2G46280"	6
"252"	"AT2G46340"	13
"253"	"AT2G46370"	2
"254"	"AT2G46790"	4
"255"	"AT2G46830"	5
"256"	"AT2G46970"	2
"257"	"AT2G47620"	4
"258"	"AT3G01090"	5
"259"	"AT3G02520"	2
"260"	"AT3G02850"	3
"261"	"AT3G03000"	2
"262"	"AT3G03950"	2
"263"	"AT3G04680"	5
"264"	"AT3G04910"	3
"265"	"AT3G06930"	3
"266"	"AT3G07040"	5
"267"	"AT3G07370"	16
"268"	"AT3G08730"	2
"269"	"AT3G08850"	6
"270"	"AT3G09440"	3
"271"	"AT3G09840"	13
"272"	"AT3G09920"	2
"273"	"AT3G10670"	2
"274"	"AT3G11280"	2
"275"	"AT3G11410"	2
"276"	"AT3G11540"	2
"277"	"AT3G11730"	2
"278"	"AT3G12145"	2
"279"	"AT3G12250"	4
"280"	"AT3G12400"	4
"281"	"AT3G12740"	2
"282"	"AT3G12810"	4
"283"	"AT3G13300"	4
"284"	"AT3G13550"	9
"285"	"AT3G13570"	12
"286"	"AT3G14230"	2
"287"	"AT3G15210"	2
"288"	"AT3G15354"	11
"289"	"AT3G15540"	4
"290"	"AT3G15880"	2
"291"	"AT3G16050"	2
"292"	"AT3G16620"	3
"293"	"AT3G16770"	3
"294"	"AT3G16857"	12
"295"	"AT3G17510"	9
"296"	"AT3G17590"	5
"297"	"AT3G17609"	4
"298"	"AT3G17860"	4
"299"	"AT3G17970"	2
"300"	"AT3G18524"	5
"301"	"AT3G18690"	3
"302"	"AT3G18730"	2
"303"	"AT3G19150"	3
"304"	"AT3G19210"	2
"305"	"AT3G19290"	4
"306"	"AT3G20310"	2
"307"	"AT3G20600"	2
"308"	"AT3G20740"	3
"309"	"AT3G20780"	2
"310"	"AT3G21510"	13
"311"	"AT3G21640"	5
"312"	"AT3G21850"	3
"313"	"AT3G21865"	2
"314"	"AT3G22170"	5
"315"	"AT3G23000"	4
"316"	"AT3G23250"	2
"317"	"AT3G25070"	6
"318"	"AT3G25250"	7
"319"	"AT3G26090"	2
"320"	"AT3G26650"	4
"321"	"AT3G26744"	6
"322"	"AT3G27920"	4
"323"	"AT3G28860"	3
"324"	"AT3G29160"	7
"325"	"AT3G29350"	18
"326"	"AT3G30530"	2
"327"	"AT3G33520"	3
"328"	"AT3G44880"	2
"329"	"AT3G45620"	4
"330"	"AT3G45640"	3
"331"	"AT3G45780"	3
"332"	"AT3G47810"	2
"333"	"AT3G48590"	5
"334"	"AT3G48750"	35
"335"	"AT3G50630"	3
"336"	"AT3G51300"	24
"337"	"AT3G52180"	2
"338"	"AT3G52420"	2
"339"	"AT3G52450"	2
"340"	"AT3G52560"	4
"341"	"AT3G52590"	4
"342"	"AT3G52890"	3
"343"	"AT3G53120"	2
"344"	"AT3G54180"	4
"345"	"AT3G54220"	6
"346"	"AT3G54620"	9
"347"	"AT3G54860"	3
"348"	"AT3G55340"	3
"349"	"AT3G55460"	12
"350"	"AT3G55560"	2
"351"	"AT3G55840"	2
"352"	"AT3G56860"	3
"353"	"AT3G57040"	6
"354"	"AT3G57530"	8
"355"	"AT3G58040"	2
"356"	"AT3G58780"	2
"357"	"AT3G59060"	6
"358"	"AT3G59220"	2
"359"	"AT3G59350"	2
"360"	"AT3G59380"	4
"361"	"AT3G59420"	2
"362"	"AT3G60010"	10
"363"	"AT3G60600"	3
"364"	"AT3G61190"	2
"365"	"AT3G61570"	3
"366"	"AT3G61590"	20
"367"	"AT3G62090"	3
"368"	"AT3G62250"	2
"369"	"AT3G62410"	4
"370"	"AT3G62420"	8
"371"	"AT3G62800"	2
"372"	"AT3G62980"	6
"373"	"AT3G63130"	6
"374"	"AT4G00180"	2
"375"	"AT4G00570"	2
"376"	"AT4G00650"	2
"377"	"AT4G01190"	8
"378"	"AT4G01370"	6
"379"	"AT4G01420"	3
"380"	"AT4G01900"	3
"381"	"AT4G02020"	3
"382"	"AT4G02070"	2
"383"	"AT4G02510"	3
"384"	"AT4G02560"	2
"385"	"AT4G02570"	30
"386"	"AT4G02640"	10
"387"	"AT4G04770"	2
"388"	"AT4G04885"	3
"389"	"AT4G05420"	28
"390"	"AT4G08500"	3
"391"	"AT4G08590"	2
"392"	"AT4G08920"	7
"393"	"AT4G09960"	2
"394"	"AT4G10920"	2
"395"	"AT4G11110"	10
"396"	"AT4G11260"	6
"397"	"AT4G11960"	7
"398"	"AT4G12610"	4
"399"	"AT4G12620"	5
"400"	"AT4G13870"	6
"401"	"AT4G14560"	3
"402"	"AT4G14700"	8
"403"	"AT4G14880"	2
"404"	"AT4G15090"	4
"405"	"AT4G15880"	2
"406"	"AT4G15900"	10
"407"	"AT4G16110"	8
"408"	"AT4G16250"	5
"409"	"AT4G16280"	3
"410"	"AT4G16845"	8
"411"	"AT4G17615"	6
"412"	"AT4G18370"	2
"413"	"AT4G18710"	5
"414"	"AT4G18780"	3
"415"	"AT4G18960"	4
"416"	"AT4G21070"	2
"417"	"AT4G21100"	17
"418"	"AT4G21560"	2
"419"	"AT4G21670"	9
"420"	"AT4G21790"	2
"421"	"AT4G21800"	2
"422"	"AT4G22200"	7
"423"	"AT4G22890"	7
"424"	"AT4G23430"	4
"425"	"AT4G23810"	2
"426"	"AT4G24210"	4
"427"	"AT4G24540"	3
"428"	"AT4G24660"	13
"429"	"AT4G24972"	2
"430"	"AT4G25540"	2
"431"	"AT4G25560"	4
"432"	"AT4G26070"	4
"433"	"AT4G26080"	6
"434"	"AT4G26090"	13
"435"	"AT4G26450"	3
"436"	"AT4G26570"	12
"437"	"AT4G27180"	4
"438"	"AT4G27230"	2
"439"	"AT4G27330"	6
"440"	"AT4G27500"	2
"441"	"AT4G27630"	2
"442"	"AT4G27780"	3
"443"	"AT4G27960"	3
"444"	"AT4G28450"	2
"445"	"AT4G28556"	2
"446"	"AT4G29130"	3
"447"	"AT4G29350"	4
"448"	"AT4G29510"	2
"449"	"AT4G29830"	4
"450"	"AT4G29910"	9
"451"	"AT4G29940"	2
"452"	"AT4G31800"	4
"453"	"AT4G32410"	4
"454"	"AT4G32551"	3
"455"	"AT4G32650"	3
"456"	"AT4G32980"	2
"457"	"AT4G33000"	2
"458"	"AT4G33430"	4
"459"	"AT4G33950"	3
"460"	"AT4G34000"	2
"461"	"AT4G34110"	9
"462"	"AT4G34160"	6
"463"	"AT4G34210"	15
"464"	"AT4G34460"	4
"465"	"AT4G34470"	12
"466"	"AT4G34590"	8
"467"	"AT4G35020"	2
"468"	"AT4G35050"	4
"469"	"AT4G35390"	2
"470"	"AT4G35450"	9
"471"	"AT4G35800"	2
"472"	"AT4G35900"	2
