"colBoth.protein"	"colBoth.count"
"266"	"B1210"	4
"267"	"B1211"	3
"268"	"B1221"	9
"269"	"B1222"	4
"270"	"B1223"	6
"271"	"B1224"	13
"272"	"B1225"	6
"273"	"B1226"	4
"274"	"B1227"	6
"275"	"B1237"	4
"276"	"B1243"	10
"277"	"B1244"	11
"278"	"B1245"	21
"279"	"B1246"	9
"280"	"B1247"	11
"281"	"B1252"	8
"282"	"B1261"	8
"283"	"B1262"	8
"284"	"B1263"	9
"285"	"B1264"	8
"286"	"B1272"	2
"287"	"B1274"	5
"288"	"B1275"	4
"289"	"B1277"	4
"290"	"B1290"	6
"291"	"B1291"	5
"292"	"B1293"	8
"293"	"B1300"	5
"294"	"B1304"	5
"295"	"B1305"	4
"296"	"B1306"	4
"297"	"B1307"	3
"298"	"B1312"	3
"299"	"B1329"	8
"300"	"B1337"	2
"301"	"B1349"	2
"302"	"B1350"	2
"303"	"B1393"	4
"304"	"B1394"	2
"305"	"B1395"	2
"306"	"B1415"	2
"307"	"B1465"	2
"308"	"B1467"	4
"309"	"B1478"	3
"310"	"B1483"	8
"311"	"B1484"	10
"312"	"B1485"	18
"313"	"B1486"	12
"314"	"B1487"	4
"315"	"B1552"	3
"316"	"B1557"	6
"317"	"B1580"	4
"318"	"B1587"	5
"319"	"B1588"	5
"320"	"B1589"	6
"321"	"B1608"	15
"322"	"B1609"	9
"323"	"B1612"	4
"324"	"B1613"	2
"325"	"B1617"	2
"326"	"B1620"	3
"327"	"B1621"	3
"328"	"B1622"	2
"329"	"B1625"	2
"330"	"B1628"	6
"331"	"B1629"	6
"332"	"B1630"	6
"333"	"B1631"	6
"334"	"B1632"	6
"335"	"B1637"	2
"336"	"B1658"	6
"337"	"B1659"	2
"338"	"B1662"	5
"339"	"B1680"	5
"340"	"B1681"	5
"341"	"B1682"	6
"342"	"B1683"	5
"343"	"B1698"	2
"344"	"B1704"	3
"345"	"B1710"	2
"346"	"B1712"	3
"347"	"B1713"	6
"348"	"B1714"	8
"349"	"B1716"	6
"350"	"B1717"	3
"351"	"B1718"	11
"352"	"B1719"	7
"353"	"B1723"	9
"354"	"B1735"	4
"355"	"B1736"	4
"356"	"B1737"	4
"357"	"B1763"	2
"358"	"B1783"	3
"359"	"B1812"	5
"360"	"B1818"	4
"361"	"B1819"	3
"362"	"B1823"	4
"363"	"B1833"	2
"364"	"B1851"	7
"365"	"B1854"	2
"366"	"B1858"	2
"367"	"B1860"	10
"368"	"B1861"	10
"369"	"B1863"	5
"370"	"B1864"	3
"371"	"B1873"	2
"372"	"B1879"	18
"373"	"B1880"	21
"374"	"B1882"	15
"375"	"B1883"	13
"376"	"B1884"	14
"377"	"B1885"	5
"378"	"B1886"	10
"379"	"B1887"	11
"380"	"B1888"	12
"381"	"B1889"	8
"382"	"B1890"	11
"383"	"B1891"	4
"384"	"B1896"	2
"385"	"B1905"	2
"386"	"B1913"	9
"387"	"B1914"	4
"388"	"B1915"	3
"389"	"B1917"	3
"390"	"B1918"	9
"391"	"B1920"	9
"392"	"B1921"	2
"393"	"B1922"	15
"394"	"B1923"	18
"395"	"B1924"	12
"396"	"B1925"	7
"397"	"B1937"	13
"398"	"B1938"	22
"399"	"B1939"	17
"400"	"B1940"	4
"401"	"B1941"	19
"402"	"B1942"	10
"403"	"B1943"	8
"404"	"B1944"	10
"405"	"B1945"	25
"406"	"B1946"	14
"407"	"B1947"	7
"408"	"B1948"	23
"409"	"B1949"	11
"410"	"B1968"	7
"411"	"B1969"	16
"412"	"B1987"	2
"413"	"B1992"	2
"414"	"B2011"	2
"415"	"B2020"	7
"416"	"B2021"	8
"417"	"B2022"	8
"418"	"B2023"	7
"419"	"B2024"	10
"420"	"B2025"	7
"421"	"B2039"	5
"422"	"B2040"	4
"423"	"B2041"	6
"424"	"B2048"	3
"425"	"B2074"	7
"426"	"B2075"	2
"427"	"B2076"	3
