"test5.gene"	"test5.count"
"247"	"ASF2"	19
"248"	"ASG1"	29
"249"	"ASG7"	11
"250"	"ASH1"	86
"251"	"ASI1"	39
"252"	"ASI2"	20
"253"	"ASI3"	47
"254"	"ASK1"	44
"255"	"ASK10"	206
"256"	"ASM4"	100
"257"	"ASN1"	29
"258"	"ASN2"	26
"259"	"ASP1"	20
"260"	"ASP3-2"	15
"261"	"ASP3-4"	17
"262"	"ASR1"	61
"263"	"AST1"	11
"264"	"AST2"	9
"265"	"ATC1"	85
"266"	"ATE1"	14
"267"	"ATF1"	23
"268"	"ATF2"	51
"269"	"ATG1"	429
"270"	"ATG10"	43
"271"	"ATG11"	118
"272"	"ATG12"	77
"273"	"ATG13"	123
"274"	"ATG14"	108
"275"	"ATG15"	76
"276"	"ATG16"	56
"277"	"ATG17"	183
"278"	"ATG18"	85
"279"	"ATG19"	71
"280"	"ATG2"	47
"281"	"ATG20"	54
"282"	"ATG21"	112
"283"	"ATG22"	17
"284"	"ATG23"	112
"285"	"ATG26"	41
"286"	"ATG27"	118
"287"	"ATG29"	48
"288"	"ATG3"	108
"289"	"ATG31"	47
"290"	"ATG32"	60
"291"	"ATG33"	12
"292"	"ATG34"	24
"293"	"ATG36"	23
"294"	"ATG38"	16
"295"	"ATG39"	48
"296"	"ATG4"	38
"297"	"ATG5"	59
"298"	"ATG7"	51
"299"	"ATG8"	205
"300"	"ATG9"	166
"301"	"ATH1"	22
"302"	"ATM1"	9
"303"	"ATO2"	13
"304"	"ATO3"	16
"305"	"ATP1"	104
"306"	"ATP10"	166
"307"	"ATP11"	199
"308"	"ATP12"	88
"309"	"ATP14"	75
"310"	"ATP15"	62
"311"	"ATP17"	47
"312"	"ATP18"	160
"313"	"ATP19"	11
"314"	"ATP2"	87
"315"	"ATP20"	58
"316"	"ATP22"	7
"317"	"ATP23"	100
"318"	"ATP25"	8
"319"	"ATP3"	50
"320"	"ATP4"	76
"321"	"ATP5"	114
"322"	"ATP6"	26
"323"	"ATP7"	70
"324"	"ATP8"	13
"325"	"ATS1"	108
"326"	"ATX1"	46
"327"	"ATX2"	22
"328"	"AUR1"	183
"329"	"AUS1"	57
"330"	"AVL9"	157
"331"	"AVO1"	39
"332"	"AVO2"	65
"333"	"AVT1"	27
"334"	"AVT3"	43
"335"	"AVT4"	46
"336"	"AVT5"	75
"337"	"AVT6"	31
"338"	"AVT7"	14
"339"	"AXL1"	58
"340"	"AXL2"	44
"341"	"AYR1"	78
"342"	"AYT1"	10
"343"	"AZF1"	72
"344"	"AZR1"	15
"345"	"BAG7"	16
"346"	"BAP2"	80
"347"	"BAP3"	17
"348"	"BAR1"	20
"349"	"BAS1"	130
"350"	"BAT1"	86
"351"	"BAT2"	36
"352"	"BBC1"	149
"353"	"BBP1"	46
"354"	"BCH1"	79
"355"	"BCH2"	65
"356"	"BCK1"	652
"357"	"BCK2"	100
"358"	"BCP1"	28
"359"	"BCS1"	110
"360"	"BCY1"	249
