"test5.gene"	"test5.count"
"1056"	"EMC4"	60
"1057"	"EMC5"	99
"1058"	"EMC6"	69
"1059"	"EMG1"	78
"1060"	"EMI1"	205
"1061"	"EMI2"	97
"1062"	"EMP24"	188
"1063"	"EMP46"	27
"1064"	"EMP47"	58
"1065"	"EMP65"	98
"1066"	"EMP70"	37
"1067"	"EMW1"	42
"1068"	"ENA1"	40
"1069"	"ENA2"	18
"1070"	"ENA5"	12
"1071"	"ENB1"	10
"1072"	"END3"	203
"1073"	"ENO1"	66
"1074"	"ENO2"	172
"1075"	"ENP1"	154
"1076"	"ENP2"	44
"1077"	"ENT1"	32
"1078"	"ENT2"	59
"1079"	"ENT3"	118
"1080"	"ENT4"	68
"1081"	"ENT5"	140
"1082"	"ENV10"	80
"1083"	"ENV11"	57
"1084"	"ENV7"	43
"1085"	"ENV9"	104
"1086"	"EOS1"	190
"1087"	"EPL1"	219
"1088"	"EPO1"	57
"1089"	"EPS1"	33
"1090"	"EPT1"	78
"1091"	"ERB1"	150
"1092"	"ERD1"	339
"1093"	"ERD2"	23
"1094"	"ERF2"	54
"1095"	"ERG1"	48
"1096"	"ERG10"	99
"1097"	"ERG11"	248
"1098"	"ERG12"	50
"1099"	"ERG13"	71
"1100"	"ERG2"	366
"1101"	"ERG20"	54
"1102"	"ERG24"	40
"1103"	"ERG25"	276
"1104"	"ERG26"	128
"1105"	"ERG27"	33
"1106"	"ERG28"	37
"1107"	"ERG29"	10
"1108"	"ERG3"	382
"1109"	"ERG4"	174
"1110"	"ERG5"	200
"1111"	"ERG6"	445
"1112"	"ERG7"	36
"1113"	"ERG8"	58
"1114"	"ERG9"	33
"1115"	"ERI1"	55
"1116"	"ERJ5"	26
"1117"	"ERO1"	47
"1118"	"ERP1"	196
"1119"	"ERP2"	107
"1120"	"ERP3"	79
"1121"	"ERP4"	75
"1122"	"ERP5"	59
"1123"	"ERP6"	26
"1124"	"ERR1"	98
"1125"	"ERR3"	5
"1126"	"ERS1"	71
"1127"	"ERT1"	18
"1128"	"ERV1"	26
"1129"	"ERV14"	349
"1130"	"ERV15"	68
"1131"	"ERV2"	18
"1132"	"ERV25"	232
"1133"	"ERV29"	131
"1134"	"ERV41"	139
"1135"	"ERV46"	103
"1136"	"ESA1"	676
"1137"	"ESBP6"	31
"1138"	"ESC1"	169
"1139"	"ESC2"	145
"1140"	"ESC8"	51
"1141"	"ESF1"	73
"1142"	"ESF2"	46
"1143"	"ESL1"	26
"1144"	"ESL2"	56
"1145"	"ESP1"	46
"1146"	"ESS1"	461
"1147"	"EST1"	507
"1148"	"EST2"	52
"1149"	"EST3"	34
"1150"	"ETP1"	55
"1151"	"ETR1"	180
"1152"	"ETT1"	18
"1153"	"EUG1"	116
"1154"	"EXG1"	73
"1155"	"EXG2"	23
"1156"	"EXO1"	146
"1157"	"EXO70"	101
"1158"	"EXO84"	72
"1159"	"FAA1"	79
"1160"	"FAA2"	8
"1161"	"FAA3"	32
"1162"	"FAA4"	70
"1163"	"FAB1"	253
"1164"	"FAD1"	10
"1165"	"FAF1"	51
"1166"	"FAL1"	28
"1167"	"FAP1"	41
"1168"	"FAP7"	45
"1169"	"FAR1"	89
"1170"	"FAR10"	130
"1171"	"FAR11"	121
"1172"	"FAR3"	186
"1173"	"FAR7"	100
"1174"	"FAR8"	76
"1175"	"FAS1"	70
"1176"	"FAS2"	58
"1177"	"FAT1"	123
"1178"	"FAU1"	25
"1179"	"FBA1"	96
"1180"	"FBP1"	66
"1181"	"FBP26"	40
"1182"	"FCF1"	14
"1183"	"FCF2"	19
"1184"	"FCP1"	70
"1185"	"FCY1"	28
"1186"	"FCY2"	56
"1187"	"FCY21"	27
"1188"	"FCY22"	14
"1189"	"FDH1"	35
"1190"	"FDO1"	46
"1191"	"FEN2"	38
"1192"	"FES1"	22
"1193"	"FET3"	100
"1194"	"FET4"	53
"1195"	"FET5"	59
"1196"	"FEX1"	11
"1197"	"FHL1"	46
"1198"	"FIG1"	10
"1199"	"FIG2"	34
"1200"	"FIG4"	37
"1201"	"FIN1"	130
"1202"	"FIP1"	60
"1203"	"FIR1"	67
"1204"	"FIS1"	105
"1205"	"FIT1"	12
"1206"	"FIT3"	20
"1207"	"FKH1"	108
"1208"	"FKH2"	151
"1209"	"FKS1"	328
"1210"	"FKS3"	18
"1211"	"FLC1"	38
"1212"	"FLC2"	63
"1213"	"FLO1"	16
"1214"	"FLO11"	83
"1215"	"FLO5"	7
"1216"	"FLO8"	55
"1217"	"FLO9"	15
"1218"	"FLX1"	100
"1219"	"FMC1"	99
"1220"	"FMN1"	11
"1221"	"FMO1"	27
"1222"	"FMP10"	21
"1223"	"FMP16"	15
"1224"	"FMP27"	43
"1225"	"FMP30"	89
"1226"	"FMP32"	43
"1227"	"FMP33"	12
"1228"	"FMP40"	18
"1229"	"FMP41"	8
"1230"	"FMP42"	29
"1231"	"FMP45"	76
"1232"	"FMP46"	30
"1233"	"FMP48"	71
"1234"	"FMP52"	36
"1235"	"FMS1"	40
"1236"	"FMT1"	59
"1237"	"FOB1"	83
"1238"	"FOL1"	11
"1239"	"FOL2"	44
"1240"	"FOL3"	7
"1241"	"FOX2"	34
"1242"	"FPK1"	82
"1243"	"FPR1"	146
"1244"	"FPR2"	23
"1245"	"FPR3"	86
"1246"	"FPR4"	100
"1247"	"FPS1"	223
"1248"	"FRA1"	76
"1249"	"FRD1"	29
"1250"	"FRE1"	34
"1251"	"FRE2"	6
"1252"	"FRE4"	13
"1253"	"FRE6"	11
"1254"	"FRE7"	26
"1255"	"FRK1"	122
"1256"	"FRM2"	12
"1257"	"FRQ1"	48
"1258"	"FRS1"	28
"1259"	"FRS2"	30
"1260"	"FRT1"	81
"1261"	"FRT2"	70
"1262"	"FTH1"	64
"1263"	"FTR1"	66
"1264"	"FUB1"	41
"1265"	"FUI1"	23
"1266"	"FUM1"	170
"1267"	"FUN12"	89
"1268"	"FUN14"	16
"1269"	"FUN19"	22
"1270"	"FUN26"	10
"1271"	"FUN30"	107
"1272"	"FUR1"	22
"1273"	"FUR4"	12
"1274"	"FUS1"	55
"1275"	"FUS2"	59
"1276"	"FUS3"	316
"1277"	"FYV10"	126
"1278"	"FYV4"	91
"1279"	"FYV6"	12
"1280"	"FYV7"	16
"1281"	"FYV8"	37
"1282"	"FZF1"	27
"1283"	"FZO1"	67
"1284"	"GAA1"	24
"1285"	"GAB1"	79
"1286"	"GAC1"	28
"1287"	"GAD1"	29
"1288"	"GAL1"	37
"1289"	"GAL10"	66
"1290"	"GAL11"	180
"1291"	"GAL2"	45
"1292"	"GAL3"	60
"1293"	"GAL4"	104
"1294"	"GAL7"	44
"1295"	"GAL80"	127
"1296"	"GAL83"	63
"1297"	"GAP1"	115
"1298"	"GAR1"	109
"1299"	"GAS1"	670
"1300"	"GAS2"	33
"1301"	"GAS3"	62
"1302"	"GAS4"	47
"1303"	"GAS5"	49
"1304"	"GAT1"	38
"1305"	"GAT2"	22
"1306"	"GAT3"	12
"1307"	"GAT4"	6
"1308"	"GBP2"	129
"1309"	"GCD1"	42
"1310"	"GCD10"	20
"1311"	"GCD11"	158
"1312"	"GCD14"	83
"1313"	"GCD2"	59
"1314"	"GCD6"	59
"1315"	"GCD7"	126
"1316"	"GCN1"	342
"1317"	"GCN2"	206
"1318"	"GCN20"	166
"1319"	"GCN3"	117
"1320"	"GCN4"	120
"1321"	"GCN5"	617
"1322"	"GCR1"	84
"1323"	"GCR2"	358
"1324"	"GCS1"	198
"1325"	"GCV1"	20
"1326"	"GCV3"	52
"1327"	"GCY1"	30
"1328"	"GDA1"	197
"1329"	"GDB1"	27
"1330"	"GDE1"	42
"1331"	"GDH1"	56
"1332"	"GDH2"	106
"1333"	"GDH3"	23
"1334"	"GDI1"	46
"1335"	"GDS1"	95
"1336"	"GDT1"	19
"1337"	"GEA1"	38
"1338"	"GEA2"	55
"1339"	"GEF1"	93
"1340"	"GEM1"	136
"1341"	"GEP3"	322
"1342"	"GEP4"	46
"1343"	"GEP5"	156
"1344"	"GEP7"	25
"1345"	"GET1"	760
"1346"	"GET2"	976
"1347"	"GET3"	363
"1348"	"GET4"	117
"1349"	"GEX2"	8
"1350"	"GFA1"	93
"1351"	"GFD1"	42
"1352"	"GGA1"	77
"1353"	"GGA2"	112
"1354"	"GGC1"	23
"1355"	"GIC1"	72
"1356"	"GIC2"	89
"1357"	"GID7"	30
"1358"	"GID8"	88
"1359"	"GIM3"	556
"1360"	"GIM4"	625
"1361"	"GIM5"	672
"1362"	"GIN4"	266
"1363"	"GIP1"	28
"1364"	"GIP2"	35
"1365"	"GIP3"	45
"1366"	"GIR2"	37
"1367"	"GIS1"	90
"1368"	"GIS2"	1127
"1369"	"GIS4"	64
"1370"	"GIT1"	14
"1371"	"GLC3"	11
"1372"	"GLC7"	562
"1373"	"GLC8"	47
"1374"	"GLE1"	67
"1375"	"GLE2"	92
"1376"	"GLG1"	35
"1377"	"GLG2"	26
"1378"	"GLK1"	35
"1379"	"GLN1"	44
"1380"	"GLN3"	167
"1381"	"GLN4"	18
"1382"	"GLO1"	16
"1383"	"GLO2"	17
"1384"	"GLO3"	343
"1385"	"GLO4"	55
"1386"	"GLR1"	73
"1387"	"GLT1"	60
"1388"	"GLY1"	31
"1389"	"GMC1"	20
"1390"	"GMC2"	12
"1391"	"GMH1"	39
"1392"	"GNA1"	52
"1393"	"GND1"	146
"1394"	"GND2"	30
"1395"	"GNP1"	136
"1396"	"GON7"	34
"1397"	"GOR1"	13
"1398"	"GOS1"	252
"1399"	"GOT1"	79
"1400"	"GPA1"	57
"1401"	"GPA2"	84
"1402"	"GPB1"	23
"1403"	"GPB2"	64
"1404"	"GPD1"	58
"1405"	"GPD2"	57
"1406"	"GPG1"	26
"1407"	"GPH1"	97
"1408"	"GPI1"	70
"1409"	"GPI10"	8
"1410"	"GPI11"	43
"1411"	"GPI12"	7
"1412"	"GPI13"	36
"1413"	"GPI14"	11
"1414"	"GPI15"	19
"1415"	"GPI16"	84
"1416"	"GPI17"	106
"1417"	"GPI18"	20
"1418"	"GPI19"	8
"1419"	"GPI2"	103
"1420"	"GPI8"	251
"1421"	"GPM1"	55
"1422"	"GPM2"	9
"1423"	"GPM3"	45
"1424"	"GPN3"	17
"1425"	"GPP1"	109
"1426"	"GPP2"	71
"1427"	"GPR1"	55
"1428"	"GPT2"	120
"1429"	"GPX1"	15
"1430"	"GPX2"	55
"1431"	"GRC3"	11
"1432"	"GRE1"	13
"1433"	"GRE2"	29
"1434"	"GRE3"	131
"1435"	"GRH1"	40
"1436"	"GRR1"	103
"1437"	"GRS1"	46
"1438"	"GRS2"	39
"1439"	"GRX1"	37
"1440"	"GRX2"	43
"1441"	"GRX3"	37
"1442"	"GRX4"	37
"1443"	"GRX5"	33
"1444"	"GRX6"	15
"1445"	"GRX7"	19
"1446"	"GSC2"	45
"1447"	"GSF2"	189
"1448"	"GSH1"	201
"1449"	"GSH2"	47
"1450"	"GSM1"	17
"1451"	"GSP1"	117
"1452"	"GSP2"	45
"1453"	"GSY1"	37
"1454"	"GSY2"	78
"1455"	"GTB1"	50
"1456"	"GTF1"	10
"1457"	"GTO1"	6
"1458"	"GTR1"	231
"1459"	"GTR2"	52
"1460"	"GTS1"	73
"1461"	"GTT1"	92
"1462"	"GTT2"	20
"1463"	"GTT3"	15
"1464"	"GUD1"	18
"1465"	"GUF1"	18
"1466"	"GUK1"	30
"1467"	"GUP1"	375
"1468"	"GUP2"	32
"1469"	"GUS1"	115
"1470"	"GUT1"	30
"1471"	"GUT2"	35
"1472"	"GVP36"	95
"1473"	"GWT1"	159
"1474"	"GYL1"	39
"1475"	"GYP1"	453
"1476"	"GYP5"	83
"1477"	"GYP6"	112
"1478"	"GYP7"	23
"1479"	"GYP8"	72
"1480"	"GZF3"	130
"1481"	"HAA1"	40
"1482"	"HAC1"	390
"1483"	"HAL5"	169
"1484"	"HAL9"	72
"1485"	"HAM1"	17
"1486"	"HAP1"	31
"1487"	"HAP2"	158
"1488"	"HAP3"	172
"1489"	"HAP4"	123
"1490"	"HAP5"	197
"1491"	"HAS1"	135
"1492"	"HAT1"	82
"1493"	"HAT2"	77
"1494"	"HBN1"	5
"1495"	"HBS1"	39
"1496"	"HBT1"	50
"1497"	"HCA4"	89
"1498"	"HCH1"	32
"1499"	"HCM1"	234
"1500"	"HCR1"	147
"1501"	"HCS1"	12
"1502"	"HDA1"	493
"1503"	"HDA2"	264
"1504"	"HDA3"	196
"1505"	"HED1"	11
"1506"	"HEF3"	34
"1507"	"HEH2"	27
"1508"	"HEK2"	1015
"1509"	"HEL1"	11
"1510"	"HEL2"	53
"1511"	"HEM1"	39
"1512"	"HEM12"	28
"1513"	"HEM13"	49
"1514"	"HEM14"	33
"1515"	"HEM15"	23
"1516"	"HEM2"	60
"1517"	"HEM3"	18
"1518"	"HER1"	23
"1519"	"HER2"	327
"1520"	"HES1"	28
"1521"	"HFA1"	92
"1522"	"HFD1"	38
"1523"	"HFI1"	181
"1524"	"HFM1"	15
"1525"	"HGH1"	47
"1526"	"HHF1"	687
"1527"	"HHF2"	478
"1528"	"HHO1"	75
"1529"	"HHT1"	812
"1530"	"HHT2"	712
"1531"	"HIF1"	42
"1532"	"HIM1"	13
"1533"	"HIP1"	24
"1534"	"HIR1"	247
"1535"	"HIR2"	302
"1536"	"HIR3"	201
"1537"	"HIS2"	6
"1538"	"HIS3"	41
"1539"	"HIS4"	26
"1540"	"HIS6"	17
"1541"	"HIS7"	10
"1542"	"HIT1"	18
"1543"	"HKR1"	80
"1544"	"HLJ1"	166
"1545"	"HMF1"	7
"1546"	"HMG1"	134
"1547"	"HMG2"	74
"1548"	"HMI1"	121
"1549"	"HMLALPHA1"	6
"1550"	"HMLALPHA2"	7
"1551"	"HMO1"	341
"1552"	"HMRA1"	9
"1553"	"HMS1"	33
"1554"	"HMS2"	45
"1555"	"HMT1"	338
"1556"	"HMX1"	16
"1557"	"HNM1"	98
"1558"	"HNT1"	22
"1559"	"HNT2"	41
"1560"	"HNT3"	20
"1561"	"HO"	28
"1562"	"HOC1"	368
"1563"	"HOF1"	476
"1564"	"HOG1"	387
"1565"	"HOL1"	76
"1566"	"HOM2"	154
"1567"	"HOM3"	188
"1568"	"HOM6"	350
"1569"	"HOP1"	53
"1570"	"HOP2"	32
"1571"	"HOR7"	17
"1572"	"HOS1"	80
"1573"	"HOS2"	309
"1574"	"HOS3"	66
"1575"	"HOS4"	82
"1576"	"HOT1"	38
"1577"	"HOT13"	4
"1578"	"HPA2"	59
"1579"	"HPA3"	18
"1580"	"HPC2"	133
"1581"	"HPF1"	33
"1582"	"HPR1"	159
"1583"	"HPT1"	125
"1584"	"HRB1"	79
"1585"	"HRD1"	178
"1586"	"HRD3"	115
"1587"	"HRI1"	49
"1588"	"HRK1"	120
"1589"	"HRP1"	70
"1590"	"HRQ1"	134
"1591"	"HRR25"	249
"1592"	"HRT1"	95
"1593"	"HRT3"	37
"1594"	"HSC82"	1040
"1595"	"HSE1"	107
"1596"	"HSF1"	75
"1597"	"HSH155"	44
"1598"	"HSH49"	33
"1599"	"HSK3"	68
"1600"	"HSL1"	313
"1601"	"HSL7"	38
"1602"	"HSM3"	79
"1603"	"HSP10"	23
"1604"	"HSP104"	111
"1605"	"HSP12"	30
"1606"	"HSP150"	37
"1607"	"HSP26"	62
"1608"	"HSP30"	90
"1609"	"HSP31"	20
"1610"	"HSP32"	4
"1611"	"HSP33"	5
"1612"	"HSP42"	85
"1613"	"HSP60"	139
"1614"	"HSP78"	78
"1615"	"HSP82"	1424
"1616"	"HST1"	94
"1617"	"HST2"	41
"1618"	"HST3"	220
"1619"	"HST4"	77
"1620"	"HSV2"	45
"1621"	"HTA1"	474
"1622"	"HTA2"	328
"1623"	"HTB1"	421
"1624"	"HTB2"	229
"1625"	"HTD2"	163
"1626"	"HTL1"	58
"1627"	"HTS1"	27
"1628"	"HTZ1"	781
"1629"	"HUA1"	28
"1630"	"HUA2"	44
"1631"	"HUB1"	66
"1632"	"HUG1"	17
"1633"	"HUL4"	32
"1634"	"HUL5"	25
"1635"	"HUR1"	246
"1636"	"HUT1"	31
"1637"	"HVG1"	9
"1638"	"HXK1"	65
"1639"	"HXK2"	195
"1640"	"HXT1"	111
"1641"	"HXT10"	47
"1642"	"HXT11"	30
"1643"	"HXT15"	19
"1644"	"HXT16"	23
"1645"	"HXT17"	36
"1646"	"HXT2"	114
"1647"	"HXT3"	48
"1648"	"HXT4"	26
"1649"	"HXT5"	50
"1650"	"HXT6"	30
"1651"	"HXT7"	50
"1652"	"HXT8"	50
"1653"	"HXT9"	26
"1654"	"HYM1"	38
"1655"	"HYP2"	169
"1656"	"HYR1"	51
"1657"	"IAH1"	48
"1658"	"IBA57"	14
"1659"	"IBD2"	14
"1660"	"ICE2"	454
"1661"	"ICL1"	31
"1662"	"ICL2"	10
"1663"	"ICP55"	36
"1664"	"IDH1"	178
"1665"	"IDH2"	213
"1666"	"IDI1"	46
"1667"	"IDP1"	50
"1668"	"IDP2"	20
"1669"	"IDP3"	30
"1670"	"IDS2"	16
"1671"	"IES1"	209
"1672"	"IES2"	254
"1673"	"IES3"	261
"1674"	"IES4"	130
"1675"	"IES5"	196
"1676"	"IES6"	39
"1677"	"IFA38"	165
"1678"	"IFH1"	46
"1679"	"IFM1"	81
"1680"	"IGD1"	23
"1681"	"IGO1"	62
"1682"	"IGO2"	35
"1683"	"IKI1"	127
"1684"	"IKI3"	331
"1685"	"IKS1"	78
"1686"	"ILM1"	516
"1687"	"ILS1"	41
"1688"	"ILV1"	210
"1689"	"ILV2"	33
"1690"	"ILV3"	120
"1691"	"ILV5"	47
"1692"	"ILV6"	61
"1693"	"IMA1"	37
"1694"	"IMD2"	63
"1695"	"IMD3"	133
"1696"	"IMD4"	87
"1697"	"IME1"	123
"1698"	"IME2"	147
"1699"	"IME4"	13
"1700"	"IMG1"	45
"1701"	"IMG2"	35
"1702"	"IMH1"	55
"1703"	"IML1"	43
"1704"	"IML2"	56
"1705"	"IML3"	108
"1706"	"IMO32"	12
"1707"	"IMP1"	14
"1708"	"IMP2'"	80
"1709"	"IMP3"	26
"1710"	"IMP4"	57
"1711"	"INA1"	39
"1712"	"INA17"	22
"1713"	"INA22"	19
"1714"	"INH1"	61
"1715"	"INM1"	38
"1716"	"INM2"	22
"1717"	"INN1"	28
"1718"	"INO1"	56
"1719"	"INO2"	229
"1720"	"INO4"	412
"1721"	"INO80"	139
"1722"	"INP1"	26
"1723"	"INP2"	16
"1724"	"INP51"	85
"1725"	"INP52"	144
"1726"	"INP53"	227
"1727"	"INP54"	48
"1728"	"IOC2"	50
"1729"	"IOC3"	61
"1730"	"IOC4"	128
"1731"	"IPI1"	35
"1732"	"IPI3"	69
"1733"	"IPK1"	287
"1734"	"IPL1"	178
"1735"	"IPP1"	90
"1736"	"IPT1"	120
"1737"	"IQG1"	55
"1738"	"IRA1"	39
"1739"	"IRA2"	743
"1740"	"IRC10"	7
"1741"	"IRC15"	81
"1742"	"IRC20"	86
"1743"	"IRC21"	60
"1744"	"IRC22"	29
"1745"	"IRC23"	39
"1746"	"IRC24"	10
"1747"	"IRC25"	62
"1748"	"IRC3"	62
"1749"	"IRC5"	50
"1750"	"IRC6"	24
"1751"	"IRC8"	23
"1752"	"IRE1"	410
"1753"	"IRR1"	36
"1754"	"IRS4"	140
"1755"	"ISA1"	24
"1756"	"ISA2"	18
"1757"	"ISC1"	203
"1758"	"ISC10"	5
"1759"	"ISD11"	13
"1760"	"ISM1"	16
"1761"	"ISN1"	18
"1762"	"ISR1"	85
"1763"	"IST1"	34
"1764"	"IST2"	64
"1765"	"IST3"	255
"1766"	"ISU1"	62
"1767"	"ISU2"	25
"1768"	"ISW1"	219
"1769"	"ISW2"	283
"1770"	"ISY1"	69
"1771"	"ITC1"	154
"1772"	"ITR1"	87
"1773"	"ITR2"	30
"1774"	"ITT1"	40
"1775"	"IVY1"	75
"1776"	"IWR1"	231
"1777"	"IXR1"	238
"1778"	"IZH1"	46
"1779"	"IZH2"	188
"1780"	"IZH3"	49
"1781"	"IZH4"	25
"1782"	"JAC1"	33
"1783"	"JEM1"	50
"1784"	"JEN1"	31
"1785"	"JHD1"	15
"1786"	"JHD2"	60
"1787"	"JID1"	127
"1788"	"JIP4"	37
"1789"	"JIP5"	22
"1790"	"JJJ1"	138
"1791"	"JJJ2"	8
"1792"	"JJJ3"	62
"1793"	"JLP1"	27
"1794"	"JNM1"	363
"1795"	"JSN1"	70
"1796"	"KAE1"	35
"1797"	"KAP104"	90
"1798"	"KAP114"	55
"1799"	"KAP120"	84
"1800"	"KAP122"	92
"1801"	"KAP123"	205
"1802"	"KAP95"	161
"1803"	"KAR1"	28
"1804"	"KAR2"	454
"1805"	"KAR3"	398
"1806"	"KAR4"	32
"1807"	"KAR5"	33
"1808"	"KAR9"	143
"1809"	"KCC4"	88
"1810"	"KCH1"	134
"1811"	"KCS1"	283
"1812"	"KDX1"	73
"1813"	"KEG1"	16
"1814"	"KEI1"	18
"1815"	"KEL1"	124
"1816"	"KEL2"	81
"1817"	"KEL3"	15
"1818"	"KES1"	204
"1819"	"KEX1"	123
"1820"	"KEX2"	203
"1821"	"KGD1"	51
"1822"	"KGD2"	207
"1823"	"KHA1"	30
"1824"	"KIC1"	37
"1825"	"KIN1"	105
"1826"	"KIN2"	157
"1827"	"KIN28"	92
"1828"	"KIN3"	234
"1829"	"KIN4"	170
"1830"	"KIN82"	107
"1831"	"KIP1"	46
"1832"	"KIP2"	76
"1833"	"KIP3"	155
"1834"	"KKQ8"	85
"1835"	"KNH1"	43
"1836"	"KNS1"	138
"1837"	"KOG1"	103
"1838"	"KRE1"	202
"1839"	"KRE2"	28
"1840"	"KRE28"	60
"1841"	"KRE29"	9
"1842"	"KRE33"	109
"1843"	"KRE5"	78
"1844"	"KRE6"	74
"1845"	"KRE9"	40
"1846"	"KRI1"	89
"1847"	"KRR1"	159
"1848"	"KRS1"	92
"1849"	"KSH1"	4
"1850"	"KSP1"	315
"1851"	"KSS1"	197
"1852"	"KTI11"	24
"1853"	"KTI12"	113
"1854"	"KTR1"	29
"1855"	"KTR2"	25
"1856"	"KTR3"	51
"1857"	"KTR4"	20
"1858"	"KTR5"	13
"1859"	"KTR6"	49
"1860"	"KTR7"	19
"1861"	"KXD1"	39
"1862"	"LAA1"	24
"1863"	"LAC1"	77
"1864"	"LAG1"	65
"1865"	"LAG2"	23
"1866"	"LAM1"	44
"1867"	"LAM4"	69
"1868"	"LAM5"	11
"1869"	"LAM6"	38
"1870"	"LAP2"	27
"1871"	"LAP3"	15
"1872"	"LAS1"	90
"1873"	"LAS17"	183
"1874"	"LAS21"	346
"1875"	"LAT1"	216
"1876"	"LCB1"	169
"1877"	"LCB2"	75
"1878"	"LCB3"	104
"1879"	"LCB4"	127
"1880"	"LCB5"	139
"1881"	"LCD1"	48
"1882"	"LCL2"	33
"1883"	"LCL3"	8
"1884"	"LCP5"	84
"1885"	"LDB17"	14
"1886"	"LDB18"	210
"1887"	"LDB19"	82
"1888"	"LDB7"	39
"1889"	"LDH1"	17
"1890"	"LDS2"	3
"1891"	"LEA1"	374
"1892"	"LEM3"	184
"1893"	"LEO1"	353
"1894"	"LEU1"	67
"1895"	"LEU2"	16
"1896"	"LEU3"	53
"1897"	"LEU4"	37
"1898"	"LEU5"	43
"1899"	"LEU9"	76
"1900"	"LGE1"	606
"1901"	"LHP1"	108
"1902"	"LHS1"	206
"1903"	"LIA1"	71
"1904"	"LIF1"	36
"1905"	"LIN1"	60
"1906"	"LIP1"	32
"1907"	"LIP2"	154
"1908"	"LIP5"	141
"1909"	"LMO1"	12
"1910"	"LNP1"	41
"1911"	"LOA1"	25
"1912"	"LOC1"	127
"1913"	"LOS1"	94
"1914"	"LOT5"	15
"1915"	"LOT6"	18
"1916"	"LPD1"	60
"1917"	"LPL1"	20
"1918"	"LPP1"	40
"1919"	"LPX1"	16
"1920"	"LRE1"	41
"1921"	"LRG1"	58
"1922"	"LRO1"	40
"1923"	"LRP1"	287
"1924"	"LRS4"	408
"1925"	"LSB1"	36
"1926"	"LSB3"	133
"1927"	"LSB5"	16
"1928"	"LSB6"	11
"1929"	"LSC1"	65
"1930"	"LSC2"	89
"1931"	"LSG1"	80
"1932"	"LSM1"	869
"1933"	"LSM12"	109
"1934"	"LSM2"	104
"1935"	"LSM3"	239
"1936"	"LSM4"	198
"1937"	"LSM5"	75
"1938"	"LSM6"	417
"1939"	"LSM7"	417
"1940"	"LSM8"	96
"1941"	"LSO2"	7
"1942"	"LSP1"	132
"1943"	"LSR1"	8
"1944"	"LST4"	143
"1945"	"LST7"	16
"1946"	"LST8"	211
"1947"	"LTE1"	473
"1948"	"LTO1"	10
"1949"	"LTP1"	23
"1950"	"LTV1"	129
"1951"	"LUC7"	61
"1952"	"LYP1"	29
"1953"	"LYS1"	19
"1954"	"LYS12"	75
"1955"	"LYS14"	19
"1956"	"LYS2"	24
"1957"	"LYS20"	109
"1958"	"LYS21"	46
"1959"	"LYS4"	25
"1960"	"LYS5"	9
"1961"	"LYS9"	17
"1962"	"MAC1"	49
"1963"	"MAD1"	378
"1964"	"MAD2"	302
"1965"	"MAD3"	115
"1966"	"MAE1"	132
"1967"	"MAF1"	141
"1968"	"MAG1"	78
"1969"	"MAG2"	34
"1970"	"MAK10"	33
"1971"	"MAK11"	79
"1972"	"MAK16"	71
"1973"	"MAK21"	210
"1974"	"MAK3"	75
"1975"	"MAK31"	46
"1976"	"MAK32"	16
"1977"	"MAK5"	94
"1978"	"MAL11"	79
"1979"	"MAL12"	74
"1980"	"MAL13"	18
"1981"	"MAL31"	45
"1982"	"MAL32"	25
"1983"	"MAL33"	24
"1984"	"MAM1"	23
"1985"	"MAM3"	16
"1986"	"MAM33"	103
"1987"	"MAP1"	23
"1988"	"MAS1"	23
"1989"	"MAS2"	14
"1990"	"MATALPHA1"	4
"1991"	"MATALPHA2"	14
"1992"	"MBA1"	86
"1993"	"MBF1"	74
"1994"	"MBP1"	107
"1995"	"MBR1"	71
"1996"	"MCA1"	79
"1997"	"MCD1"	133
"1998"	"MCD4"	29
"1999"	"MCH1"	31
"2000"	"MCH2"	8
"2001"	"MCH5"	9
"2002"	"MCK1"	503
"2003"	"MCM1"	49
"2004"	"MCM10"	86
"2005"	"MCM16"	156
"2006"	"MCM2"	148
"2007"	"MCM21"	172
"2008"	"MCM22"	122
"2009"	"MCM3"	69
"2010"	"MCM4"	96
"2011"	"MCM5"	97
"2012"	"MCM6"	86
"2013"	"MCM7"	55
"2014"	"MCP1"	84
"2015"	"MCP2"	35
"2016"	"MCR1"	48
"2017"	"MCT1"	127
"2018"	"MCX1"	63
"2019"	"MCY1"	66
"2020"	"MDE1"	15
"2021"	"MDH1"	75
"2022"	"MDH2"	42
"2023"	"MDH3"	62
"2024"	"MDJ1"	58
"2025"	"MDJ2"	20
"2026"	"MDL1"	93
"2027"	"MDL2"	91
"2028"	"MDM1"	41
"2029"	"MDM10"	243
"2030"	"MDM12"	197
"2031"	"MDM20"	49
"2032"	"MDM30"	53
"2033"	"MDM31"	55
"2034"	"MDM32"	248
"2035"	"MDM34"	110
"2036"	"MDM35"	218
"2037"	"MDM36"	36
"2038"	"MDM38"	176
"2039"	"MDN1"	66
"2040"	"MDR1"	42
"2041"	"MDS3"	84
"2042"	"MDV1"	63
"2043"	"MDY2"	125
"2044"	"MEC1"	245
"2045"	"MEC3"	106
"2046"	"MED1"	420
"2047"	"MED11"	109
"2048"	"MED2"	151
"2049"	"MED4"	104
"2050"	"MED6"	48
"2051"	"MED7"	176
"2052"	"MED8"	202
"2053"	"MEF1"	50
"2054"	"MEF2"	6
"2055"	"MEH1"	136
"2056"	"MEI4"	15
